iter	Passed	Remaining
0	1	134
1	2	120
2	3	119
3	4	112
4	5	109
5	6	106
6	7	104
7	8	103
8	10	102
9	11	100
10	12	98
11	13	96
12	14	94
13	15	93
14	16	92
15	17	90
16	18	89
17	19	87
18	20	86
19	21	84
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	28	79
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	35	74
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	65
39	43	64
40	44	63
41	44	61
42	45	59
43	46	58
44	46	57
45	47	55
46	48	54
47	49	54
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	63	38
62	65	38
63	74	41
64	75	40
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	14
87	100	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
